Id,Revenue
3001,59240019.857448034
3002,-7066318.733500794
3003,24694213.021986403
3004,-5265196.562528998
3005,-23196199.697418764
3006,10537502.961343177
3007,5116840.779975615
3008,101796540.75260445
3009,57669050.97438483
3010,275642034.9281715
3011,-7787447.521128461
3012,-7483152.411990523
3013,51467064.83017384
3014,-5272026.154000595
3015,91225018.1069788
3016,-13087354.001072168
3017,121117953.27941635
3018,213144933.14736846
3019,13950930.983910836
3020,553331364.428386
3021,75458133.82427266
3022,91441885.7632486
3023,-14597351.6156694
3024,55013004.249997556
3025,-11680639.172902852
3026,95263198.21689409
3027,55143529.57520369
3028,114101438.98689637
3029,-18788231.06123066
3030,75828503.75618488
3031,20902640.072413787
3032,27502591.407732345
3033,12132759.73606769
3034,-204682.5098818317
3035,5855544.174109556
3036,-2982535.3684969097
3037,65625301.00802802
3038,57631833.04270314
3039,52699176.692734525
3040,-10633675.353578925
3041,22524671.573237948
3042,-30084021.43815598
3043,10886774.543717705
3044,8682616.676484555
3045,396370273.95450133
3046,7777268.798505202
3047,8173062.989902422
3048,32994591.05220028
3049,-1088911.2902885303
3050,42282910.73772497
3051,-33556384.29637571
3052,50719374.65271178
3053,-14549896.610085621
3054,21743140.349362224
3055,118370733.9580461
3056,-29772271.128467202
3057,125552829.6518998
3058,520372349.2901215
3059,5005925.638861127
3060,139797986.23806962
3061,78614534.89238143
3062,53646498.52993212
3063,38956723.430812314
3064,180247311.60229212
3065,68595714.04977249
3066,114434271.18062341
3067,9599579.674168535
3068,60750948.341541454
3069,357795926.53207064
3070,-2956244.6090516746
3071,18670571.430391923
3072,448533803.2691887
3073,-1680188.119240433
3074,-10441003.019165918
3075,74269256.10856023
3076,191569893.0849352
3077,14490666.204918854
3078,101754691.37853959
3079,66878665.97987719
3080,146751809.1737157
3081,21748638.443719007
3082,10435727.143703967
3083,32838435.814098097
3084,4478340.645561956
3085,49047264.60771835
3086,122181357.53907886
3087,-18659799.123301893
3088,6846886.448268883
3089,-23275913.302822992
3090,81383966.29051685
3091,71009045.61902319
3092,1360431.1124126315
3093,235005009.49086556
3094,151454720.42273897
3095,85181561.45215996
3096,-9724364.267006993
3097,699253413.2854245
3098,31603162.300684042
3099,91614393.2708585
3100,-15143559.22851713
3101,27641075.852448463
3102,5453443.321852729
3103,7035676.772500575
3104,-15816025.161857277
3105,204737020.6003048
3106,212605405.32651222
3107,50862381.319575146
3108,30820567.02236101
3109,23457059.67728953
3110,405293985.4281273
3111,8117799.470314048
3112,-33628474.036578655
3113,22858195.119474962
3114,52450693.12731686
3115,34264246.73481145
3116,23842338.073920496
3117,-4224820.505256712
3118,-25148467.588304624
3119,295530225.7550281
3120,234223424.21505305
3121,-1588815.1567749828
3122,15503786.645071127
3123,24514578.423102662
3124,6217344.898042843
3125,-46032536.261280894
3126,48526093.30584155
3127,10844383.193660244
3128,60102386.46522857
3129,117616519.7192486
3130,16555992.45226138
3131,-62654044.805534035
3132,10615436.436626926
3133,54301853.99250668
3134,11096385.831006415
3135,22819696.21077162
3136,9881851.239510693
3137,248618157.05031916
3138,-11933071.961669251
3139,56775050.99412732
3140,78417171.94973116
3141,31299843.157266855
3142,-24774621.70969771
3143,190683744.33115366
3144,57796586.603851356
3145,41282530.452191085
3146,28279812.395182885
3147,34652563.8032539
3148,7881171.770487092
3149,137084281.17156988
3150,154146363.88352734
3151,-13826822.661145538
3152,11604189.028764404
3153,23541450.76913491
3154,15694185.467576772
3155,37626024.22446157
3156,39650075.83973386
3157,27839779.94572082
3158,128218349.96829161
3159,41490509.036452346
3160,2332771.1591574624
3161,-7814366.987618908
3162,-17520720.60984133
3163,62143576.49230986
3164,-21294230.995604157
3165,-27648791.126940876
3166,-24080431.474189267
3167,98003336.77184562
3168,-2399606.467806563
3169,41816711.986363694
3170,41897718.296135135
3171,23789078.398992635
3172,58555727.81195155
3173,-12270654.111460328
3174,-1191655.4152807668
3175,31778234.237917043
3176,55696518.23236427
3177,98328405.92170152
3178,-5184598.010486022
3179,-5805794.290754005
3180,12313831.665243931
3181,-5553963.030840009
3182,178336457.41685408
3183,28915303.16476912
3184,14870120.556970209
3185,171183625.13115206
3186,72153534.43528914
3187,13400588.611963682
3188,3092882.603921026
3189,120602487.73927367
3190,35220841.77337648
3191,20861365.807027496
3192,52592895.837710455
3193,167598181.4830969
3194,73193090.91252986
3195,-17559066.320911407
3196,2334907.401042573
3197,35969775.72895936
3198,179532434.0705549
3199,290560137.78701174
3200,30140329.081655823
3201,41296840.36441597
3202,27945975.38637396
3203,-12484392.174179986
3204,18648791.382675253
3205,-10705629.86849524
3206,14828917.73706881
3207,53300921.07973456
3208,5720416.356437795
3209,4325433.673684485
3210,390593353.0086554
3211,-4266742.348748431
3212,85100261.50484851
3213,108647572.76586202
3214,-13277374.073289514
3215,12413850.39773003
3216,25665018.65652077
3217,359186723.1214319
3218,64432404.35473648
3219,4168812.231927164
3220,90348680.85978353
3221,24870884.481247954
3222,2932709.133841276
3223,23419080.26686453
3224,10088106.139865711
3225,23240755.524948955
3226,18788215.75709054
3227,146187513.72145647
3228,242502859.1892527
3229,160700337.45115107
3230,26469646.74292233
3231,50371608.20121248
3232,33962939.49676684
3233,27932894.83097717
3234,-14466238.7109223
3235,5623094.021294996
3236,-7386662.9756082
3237,26974868.721466213
3238,14010709.276754387
3239,-13610355.437599912
3240,303752821.6782788
3241,-1011228.6864014342
3242,-917046.1657577753
3243,-14169967.5599356
3244,-41474885.36785182
3245,17973938.794258907
3246,83188482.04085627
3247,56467034.64609823
3248,87767223.96312484
3249,77358548.3986087
3250,368064837.04659414
3251,-12251783.564062566
3252,37650378.114071414
3253,27401071.000325143
3254,-46539281.37825677
3255,-2339723.607483551
3256,75165510.56862062
3257,9945436.984071568
3258,44235465.32161974
3259,71467584.43819474
3260,-3400793.0500730276
3261,380154896.93787515
3262,84629045.59123425
3263,108991.29632812738
3264,-32126683.05591196
3265,-9728525.366105601
3266,-6416549.693223029
3267,33496893.236999318
3268,-4923559.920252517
3269,60124555.24858836
3270,101261721.30407701
3271,196807.85841398686
3272,53581056.00727102
3273,30035187.363285072
3274,298334070.6370691
3275,-32796494.723431736
3276,-2773748.328849405
3277,9727508.742580697
3278,139352712.18424898
3279,6025346.959008448
3280,354867193.1580199
3281,-5929811.183983922
3282,-20857466.801662818
3283,396241976.81483024
3284,40873531.29955364
3285,71311569.47677548
3286,-1558411.184807837
3287,2997251.455289811
3288,14962267.811981454
3289,69036294.3901111
3290,106805476.68846697
3291,61298346.003762275
3292,203368918.93338946
3293,118617149.70461786
3294,-1781235.8914155513
3295,40025125.686541915
3296,-14500015.242322147
3297,24587138.918574475
3298,117209283.93641067
3299,4758855.441020973
3300,9115337.984520406
3301,-25454466.22210917
3302,43021152.82841064
3303,-16282292.156938553
3304,42536589.48528916
3305,35553792.40620452
3306,11388.874229930341
3307,54735903.33574555
3308,69385623.55482621
3309,5378829.030764408
3310,13648066.631861374
3311,48395334.9501201
3312,4045092.314201176
3313,92804013.36221191
3314,11261197.541181482
3315,151080119.50545943
3316,43517824.712175965
3317,3922442.7664834335
3318,-17175980.613876045
3319,4389330.861981779
3320,32695621.27241499
3321,32049152.75415112
3322,28943379.480779894
